Disease,Symptoms,Precautions
Scarlet Fever,"Red rash, red lines, flushed face, strawberry tongue, fever, sore throat","Practice good hygiene, avoid close contact with infected individuals, seek prompt treatment for strep throat"
Rotavirus,"Severe diarrhea, vomiting, fever, abdominal pain","Get vaccinated, wash hands frequently, practice good hygiene, ensure clean drinking water"
Common Cold,"Runny or stuffy nose, sore throat, cough, congestion, slight body aches, sneezing, low-grade fever, mild headache","Wash hands frequently, avoid close contact with infected individuals, practice good hygiene, use tissues when coughing or sneezing"
Bronchitis,"Cough, production of mucus (sputum), fatigue, shortness of breath, slight fever and chills, chest discomfort","Avoid smoking and secondhand smoke, wash hands frequently, avoid exposure to pollutants, get vaccinated for flu and pneumonia"
Pneumonia,"Chest pain when breathing or coughing, confusion or changes in mental awareness, cough, fatigue, fever, sweating and shaking chills, lower than normal body temperature, nausea, vomiting, diarrhea","Get vaccinated, practice good hygiene, avoid smoking, maintain a healthy lifestyle to strengthen the immune system"
Arthritis,"Joint pain, stiffness, swelling, redness, decreased range of motion","Maintain a healthy weight, stay physically active, avoid joint injuries, use ergonomic tools and furniture, practice good posture"
Osteoporosis,"Back pain, loss of height over time, a stooped posture, a bone that breaks much more easily than expected","Eat a diet rich in calcium and vitamin D, engage in regular weight-bearing exercise, avoid smoking and excessive alcohol, get bone density tests and medications if needed"
Alzheimer's Disease,"Memory loss, difficulty in planning or solving problems, difficulty completing familiar tasks, confusion with time or place, trouble understanding visual images and spatial relationships","Engage in regular physical and mental exercise, maintain a healthy diet, stay socially active, manage cardiovascular health, avoid smoking"
Parkinson's Disease,"Tremor, slowed movement, rigid muscles, impaired posture and balance, loss of automatic movements, speech changes, writing changes","Exercise regularly, eat a balanced diet, avoid exposure to toxins, stay mentally active, take prescribed medications"
Stroke,"Sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, sudden confusion, trouble speaking, or understanding speech, sudden trouble seeing in one or both eyes, sudden trouble walking, dizziness, loss of balance or coordination, sudden severe headache with no known cause","Control high blood pressure, avoid smoking, manage diabetes, maintain a healthy weight, eat a healthy diet, exercise regularly, limit alcohol consumption"
Migraine,"Severe, throbbing headache, usually on one side of the head, nausea, vomiting, sensitivity to light and sound, visual disturbances","Identify and avoid triggers, maintain a regular sleep schedule, eat regular meals, manage stress, stay hydrated, take preventive medications if prescribed"
Anxiety Disorders,"Feeling nervous, restless or tense, having a sense of impending danger or panic, increased heart rate, rapid breathing, sweating, trembling, feeling weak or tired, trouble concentrating","Practice relaxation techniques, exercise regularly, maintain a healthy diet, get enough sleep, avoid caffeine and alcohol, seek therapy or counseling"
Kala-Azar (Visceral Leishmaniasis),"Fever, weight loss, enlargement of the spleen and liver, anemia","Use insect repellent, wear protective clothing, sleep under insecticide-treated bed nets, maintain clean surroundings to prevent sandfly breeding"
Filariasis,"Swelling of the limbs, pain, fever, thickened skin, elephantiasis","Avoid mosquito bites, use mosquito nets, take preventive medications, maintain cleanliness in surroundings to prevent mosquito breeding"
Scrub Typhus,"Fever, headache, body aches, rash, mental changes, enlarged lymph nodes","Avoid areas with heavy scrub vegetation, use insect repellent, wear protective clothing, ensure proper hygiene"
Japanese Encephalitis,"Fever, headache, vomiting, confusion, seizures","Get vaccinated, use mosquito repellent, wear long-sleeved clothing, avoid outdoor activities during peak mosquito biting times"
Leprosy,"Skin lesions that may be faded/discolored, growths on the skin, thick, stiff or dry skin, severe pain, numbness on affected areas of the skin, muscle weakness or paralysis (especially in the hands and feet)","Avoid close physical contact with untreated individuals, seek early treatment, maintain personal hygiene, use prophylactic medications if exposed"
Norovirus,"Nausea, vomiting, diarrhea, stomach pain, fever, headache, body aches","Wash hands frequently, avoid close contact with infected individuals, disinfect contaminated surfaces, avoid consuming raw or undercooked shellfish"
Giardiasis,"Diarrhea, gas, stomach cramps, nausea, dehydration, greasy stools","Drink clean, boiled or filtered water, practice good hygiene, wash fruits and vegetables thoroughly, avoid consuming undercooked food"
Stomach Flu,Nausea; vomiting; diarrhea,Drink plenty of fluids; avoid contaminated food
Rubella,"Rash, fever, swollen lymph nodes","Get vaccinated, avoid close contact with infected individuals"
Gout,"Sudden severe joint pain, redness, swelling","Avoid high-purine foods, maintain a healthy weight"
Urinary Tract Infection (UTI),"Frequent urination, burning sensation, cloudy urine","Drink plenty of water, maintain good hygiene"
Otitis Media (Middle Ear Infection),"Ear pain, fever, fluid drainage from ear","Avoid smoking, keep ears dry"
Conjunctivitis,"Red, itchy eyes, discharge from eyes","Avoid touching eyes, maintain good hygiene"
Sinusitis,"Facial pain, nasal congestion, headache","Avoid allergens, stay hydrated"
Gastroenteritis,"Diarrhea, vomiting, stomach cramps","Drink plenty of fluids, practice good hygiene"
Tonsillitis,"Sore throat, difficulty swallowing, fever","Maintain good hygiene, avoid close contact with infected individuals"
Anemia,"Fatigue, weakness, pale skin","Eat iron-rich foods, take iron supplements if prescribed"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, cough, mucus production","Avoid smoking, avoid air pollutants"
Osteoporosis,"Bone fractures, loss of height, back pain","Eat calcium-rich foods, exercise regularly"
Celiac Disease,"Digestive issues, bloating, diarrhea",Follow a gluten-free diet
Multiple Sclerosis,"Numbness, tingling, balance problems","Avoid overheating, exercise regularly"
